timestamp,attention,meditation,delta,theta,alpha,beta,gamma,label
1748861491.5159245,61,100,2552,2771,7984,1524,1292,concentrado
1748861492.5138695,57,100,3550,6637,6742,3628,1077,concentrado
1748861493.509874,38,88,118837,30123,12671,8241,2925,concentrado
1748861495.5412116,48,44,2450,3274,2399,5907,6906,concentrado
1748861496.534566,44,35,500037,74501,23052,23745,37850,concentrado
1748861497.530946,43,30,233019,64430,16517,5777,9561,concentrado
1748861498.5279377,43,40,276162,113596,43465,19005,38843,concentrado
1748861499.525625,23,41,39257,25705,11175,5358,5425,concentrado
1748861500.5239081,37,43,1680,6634,2587,2981,6107,concentrado
1748861501.521847,51,50,106107,7735,6293,5618,2864,concentrado
1748861503.5153787,47,44,919718,158136,229135,314743,57210,concentrado
1748861504.5451684,47,44,997197,79278,12843,8725,2390,concentrado
1748861505.511667,47,44,1540783,224301,198068,153921,145250,concentrado
1748861506.5071957,47,44,1371373,135190,116629,96703,9281,concentrado
1748861507.504386,48,54,1752643,174332,233698,112255,21300,concentrado
1748861508.5019166,37,66,901337,26954,26117,9674,1056,concentrado
1748861510.5289402,47,63,112274,10508,9901,11900,3649,concentrado
1748861511.553417,50,57,19557,77097,55698,19584,7125,concentrado
1748861512.5228183,53,57,26359,58170,50012,16735,8524,concentrado
1748861513.517277,66,67,4932,5421,3687,4526,1899,concentrado
1748861514.5104635,77,67,2109,1603,3563,5596,1849,concentrado
1748861515.5389905,88,70,3273,3213,5561,3781,1566,concentrado
1748861516.5049021,100,69,2095,4945,6791,8099,2435,concentrado
1748861517.5299966,100,74,7800,1636,4235,5870,2186,concentrado
1748861519.528937,63,50,53919,35917,9994,11313,6047,concentrado
1748861520.5256202,51,56,15828,7528,15149,7617,2552,concentrado
1748861521.5138922,35,57,119508,10229,9964,3297,2134,concentrado
1748861522.5271335,51,78,112717,7781,27526,14946,11055,concentrado
1748861523.517875,75,90,1452,1670,5466,7626,3105,concentrado
1748861524.5185146,87,75,3112,6955,3784,8172,1635,concentrado
1748861525.5191624,100,70,908,1969,3102,3664,3048,concentrado
1748861526.545604,96,48,101461,40823,6999,12202,6346,concentrado
1748861527.5413208,78,47,148984,42985,35333,24876,27463,concentrado
1748861528.5118358,69,57,1762560,37705,40898,17237,24713,concentrado
1748861529.5093608,38,43,228823,106372,15974,5533,8477,concentrado
1748861530.5369055,48,61,4692,1759,3735,3707,9432,concentrado
1748861531.502399,50,69,1296,2289,5548,3260,8894,concentrado
1748861532.533914,56,50,3551,3619,811,3156,8746,concentrado
1748861533.529206,67,56,492459,53692,18851,13103,6941,concentrado
1748861534.525975,54,53,1605046,139969,90405,38105,34368,concentrado
1748861535.521902,35,38,90797,34346,10192,4444,2613,concentrado
1748861536.5158958,21,57,81954,27600,26428,8710,7661,concentrado
1748861537.5139234,16,54,2352786,107905,26705,18216,46990,concentrado
1748861538.5145786,20,56,194419,16393,13552,6049,9416,concentrado
1748861539.5149236,50,57,6163,2189,1079,1827,8083,concentrado
1748861540.5079908,50,50,194833,15087,6727,6363,9380,concentrado
1748861541.5021946,40,51,669568,198293,56750,20364,27533,concentrado
1748861542.527899,34,34,104570,13732,2741,8790,5159,concentrado
1748861543.5569732,4,27,511758,127249,22790,12352,8145,concentrado
1748861544.514451,8,20,259927,29109,5986,6151,7987,concentrado
1748861546.5080967,29,40,369992,11175,22522,25214,36683,concentrado
1748861547.5321052,27,41,749607,608269,107417,19720,23466,concentrado
1748861548.5290687,16,40,1156107,296297,37817,24563,25731,concentrado
1748861549.5259037,21,29,575680,66984,11548,14558,27443,concentrado
1748861550.518268,4,23,245948,80931,27731,7189,7516,concentrado
1748861551.5111954,11,20,123087,35585,5262,4340,6304,concentrado
1748861552.5099328,30,38,212619,4410,5003,3268,1684,concentrado
1748861783.746016,30,30,217629,45038,19746,8899,2980,relaxado
1748861784.8045485,38,13,38879,14947,1164,5922,2656,relaxado
1748861785.7627733,50,1,107457,21566,2799,17123,2879,relaxado
1748861786.7845714,53,20,23948,3068,11575,3966,2508,relaxado
1748861787.755508,67,44,3513,10073,18940,11937,5216,relaxado
1748861788.744391,60,67,41707,33101,14467,6630,2152,relaxado
1748861789.7404394,40,97,9533,18107,15315,3077,2960,relaxado
1748861790.7649498,47,88,34833,17057,19731,9108,2777,relaxado
1748861791.757312,47,91,6274,4832,8506,2981,1182,relaxado
1748861792.751271,63,100,2949,1754,5408,4937,1800,relaxado
1748861793.7802784,70,97,8234,8213,6639,1784,1413,relaxado
1748861795.7586448,77,96,3609,1603,3810,2281,818,relaxado
1748861796.7577705,60,100,1769,3145,7480,1613,791,relaxado
1748861797.7578404,67,100,1102,2394,3891,1613,746,relaxado
1748861798.7519732,78,100,661,1110,1219,2236,802,relaxado
1748861799.775532,70,100,6186,4080,10974,5067,1260,relaxado
1748861800.7724104,78,100,509341,45952,78178,26245,14710,relaxado
1748861801.7657464,75,90,11954,13545,8179,4693,2561,relaxado
1748861802.7645748,60,90,3618,11310,5205,3974,1500,relaxado
1748861803.7628822,61,83,801,3630,5031,3142,1505,relaxado
1748861804.7557762,61,83,5115,7926,11812,3851,2264,relaxado
1748861805.7490125,51,88,7668,9826,7771,2457,1151,relaxado
1748861806.7626038,43,100,3723,5567,19506,2704,1175,relaxado
1748861807.7556417,44,100,1071,3145,2432,1594,1233,relaxado
1748861808.7560365,63,88,194,968,1402,1767,969,relaxado
1748861809.74929,63,75,18770,16866,5841,1867,1308,relaxado
1748861810.7794187,54,74,14606,9775,21765,1677,859,relaxado
1748861811.742628,54,81,2332,2328,6259,3390,2044,relaxado
1748861812.77243,41,87,1871,3629,3924,1744,1218,relaxado
1748861813.7398462,48,100,1281,2613,10111,5117,734,relaxado
1748861815.7546792,50,100,3605,3528,5712,1988,1122,relaxado
1748861816.810993,51,100,211,4698,9594,6661,920,relaxado
1748861817.7447958,50,100,13284,2749,10605,2483,1670,relaxado
1748861818.739171,60,94,288,3415,2914,2199,1756,relaxado
1748861819.7667105,57,93,2859,5658,6613,1932,893,relaxado
1748861820.764941,60,94,594,1570,4724,2681,760,relaxado
1748861821.7647288,60,75,6481,12790,5261,2740,991,relaxado
1748861822.7453887,41,91,1286,4647,16042,2954,2468,relaxado
1748861823.7610006,56,93,1430,1246,6173,5114,1417,relaxado
1748861824.7577538,48,90,9271,5821,6801,2576,1140,relaxado
1748861825.74737,60,100,81721,7330,29176,14498,6985,relaxado
1748861826.7430913,81,80,467,4587,1786,3348,1273,relaxado
1748861827.7684388,66,84,1723,2396,6570,1507,1546,relaxado
1748861828.7643569,75,93,3069,1225,5895,2287,1008,relaxado
1748861829.7566924,66,74,4592,18632,5511,3083,1031,relaxado
1748861830.7545288,53,84,22567,10749,8011,2639,2164,relaxado
1748861831.7499802,61,75,1009,3225,4072,3557,1262,relaxado
1748861832.746619,56,63,1302,5489,5003,2441,878,relaxado
1748861833.7721405,41,69,26571,16534,11001,4422,1258,relaxado
1748861834.7658002,47,78,2447,2573,5966,2090,608,relaxado
1748861835.7643695,38,66,4839,8360,2228,2452,426,relaxado
1748861836.7580762,37,74,1136,2672,5532,2013,880,relaxado
1748861837.754046,47,78,10877,10342,9831,2688,1475,relaxado
1748861838.7487793,54,60,15231,8326,3008,4751,760,relaxado
1748861839.7486472,63,64,828,4884,1921,1625,1129,relaxado
1748861840.7492197,78,53,328,2632,2626,3520,1571,relaxado
1748861841.741888,80,56,16306,7867,12515,4335,4437,relaxado
1748861842.755163,60,60,48726,100232,39876,22954,10192,relaxado
1748861843.7500424,51,67,47024,15611,13189,3831,927,relaxado
1748861845.739548,27,75,31578,15921,11333,4185,1781,relaxado
1748861846.761986,35,87,133816,23190,30887,10997,6303,relaxado
1748861847.7590654,34,88,1872,7441,6504,1268,924,relaxado
1748861848.754554,48,84,2463,4340,7611,3115,981,relaxado
1748861849.746598,50,81,6268,8080,4230,2689,1537,relaxado
1748861850.7423136,69,80,5590,1665,5371,5280,1642,relaxado
1748861851.770159,75,77,221412,44685,32718,15656,11064,relaxado
1748861852.7384517,77,66,3940,3983,4034,4401,1002,relaxado
